cap dqbuf: 3 seq:    115 bytesused: 41939 ts: 780.893828 delta: 51.984 ms fps: 17.61 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    116 bytesused: 41952 ts: 780.941861 delta: 48.033 ms fps: 17.63 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    117 bytesused: 41949 ts: 780.993835 delta: 51.974 ms fps: 17.64 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    118 bytesused: 41932 ts: 781.045800 delta: 51.965 ms fps: 17.65 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    119 bytesused: 41949 ts: 781.093837 delta: 48.037 ms fps: 17.68 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    120 bytesused: 41937 ts: 781.145813 delta: 51.976 ms fps: 17.69 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    121 bytesused: 41942 ts: 781.193859 delta: 48.046 ms fps: 17.71 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    122 bytesused: 41943 ts: 781.245838 delta: 51.979 ms fps: 17.72 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    123 bytesused: 41945 ts: 781.297800 delta: 51.962 ms fps: 17.73 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    124 bytesused: 41953 ts: 781.345824 delta: 48.024 ms fps: 17.76 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    125 bytesused: 41928 ts: 781.397810 delta: 51.986 ms fps: 17.77 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    126 bytesused: 41929 ts: 781.449801 delta: 51.991 ms fps: 17.78 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    127 bytesused: 41951 ts: 781.497823 delta: 48.022 ms fps: 17.80 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    128 bytesused: 41945 ts: 781.549812 delta: 51.989 ms fps: 17.81 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    129 bytesused: 41931 ts: 781.597843 delta: 48.031 ms fps: 17.83 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    130 bytesused: 41961 ts: 781.649818 delta: 51.975 ms fps: 17.84 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    131 bytesused: 41936 ts: 781.701793 delta: 51.975 ms fps: 17.85 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    132 bytesused: 41954 ts: 781.749822 delta: 48.029 ms fps: 17.87 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    133 bytesused: 41955 ts: 781.801810 delta: 51.988 ms fps: 17.88 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    134 bytesused: 41942 ts: 781.853779 delta: 51.969 ms fps: 17.89 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    135 bytesused: 41934 ts: 781.901811 delta: 48.032 ms fps: 17.91 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    136 bytesused: 41942 ts: 781.953788 delta: 51.977 ms fps: 17.91 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    137 bytesused: 41938 ts: 782.001818 delta: 48.030 ms fps: 17.93 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    138 bytesused: 41936 ts: 782.053801 delta: 51.983 ms fps: 17.94 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    139 bytesused: 41940 ts: 782.105778 delta: 51.977 ms fps: 17.95 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    140 bytesused: 41939 ts: 782.153808 delta: 48.030 ms fps: 17.97 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    141 bytesused: 41942 ts: 782.205790 delta: 51.982 ms fps: 17.98 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    142 bytesused: 41943 ts: 782.257760 delta: 51.970 ms fps: 17.98 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    143 bytesused: 41950 ts: 782.305792 delta: 48.032 ms fps: 18.00 field: None (ts-monotonic, ts-src-soe)
